pc4,stedelijkheid,mgr_mean,PercentageTrees,PercentageBushes,PercentageGrass
2291,2,5.012364738,17.27,8.34,43.7
2292,2,5.194828517,11.01,7.62,41.08
2295,4,4.352059886,14.93,8.58,49.79
2311,1,5.510257888,24.4,9.79,31.34
2312,1,5.822494903,19.73,6.94,27.12
2313,1,5.502639284,22.35,11.0,37.8
2314,1,5.80931353,23.93,9.3,43.86
2315,1,5.697760803,20.22,8.54,35.3
2316,1,6.448153017,20.05,8.25,39.27
2317,1,5.248074747,28.47,10.29,37.42
2318,2,5.698483148,25.29,10.66,40.91
2321,1,6.067665063,21.18,8.32,37.84
2322,4,6.924880856,38.42,10.69,52.47
2323,3,5.735774635,25.45,10.33,54.91
2324,1,5.632066091,30.12,9.24,42.36
2331,2,5.334133277,19.79,8.85,40.68
2332,1,5.914856539,27.33,9.12,41.16
2333,2,5.883933734,32.4,7.49,37.52
2334,2,5.795118267,43.77,9.15,34.68
2341,2,5.779577541,27.89,10.52,41.26
2342,3,5.777710326,35.12,8.19,46.12
